Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SCS03G04701,2013.06,-28,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",General public services,,,,
GFSA.SCS03G04701,2014.06,-31,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",General public services,,,,
GFSA.SCS03G04701,2015.06,40,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",General public services,,,,
GFSA.SCS03G04701,2016.06,92,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",General public services,,,,
GFSA.SCS03G04701,2017.06,-35,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",General public services,,,,
GFSA.SCS03G04701,2018.06,171,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",General public services,,,,
GFSA.SCS03G04701,2019.06,-18,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",General public services,,,,
GFSA.SCS03G04702,2009.06,480,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Defence,,,,
GFSA.SCS03G04702,2010.06,303,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Defence,,,,
GFSA.SCS03G04702,2011.06,331,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Defence,,,,
GFSA.SCS03G04702,2012.06,568,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Defence,,,,
GFSA.SCS03G04702,2013.06,500,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Defence,,,,
GFSA.SCS03G04702,2014.06,737,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Defence,,,,
GFSA.SCS03G04702,2015.06,798,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Defence,,,,
GFSA.SCS03G04702,2016.06,505,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Defence,,,,
GFSA.SCS03G04702,2017.06,580,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Defence,,,,
GFSA.SCS03G04702,2018.06,683,REVISED,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Defence,,,,
GFSA.SCS03G04702,2019.06,1125,FINAL,Dollars,6,Government Financial Statistics - GFS,"Central Government, Expenses by Function, Net Acquisition of Non-financial Asset",Defence,,,,
