Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SGS01G02140,2010.06,439,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2011.06,396,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2012.06,365,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2013.06,409,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2014.06,380,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2015.06,282,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2016.06,219,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2017.06,191,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2018.06,232,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02140,2019.06,222,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SGS01G02142,2009.06,5209,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2010.06,5590,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2011.06,5868,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2012.06,6357,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2013.06,6385,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2014.06,6538,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2015.06,6544,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2016.06,7006,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2017.06,7487,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2018.06,7531,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02142,2019.06,7962,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SGS01G02143,2009.06,1035,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2010.06,2260,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2011.06,1866,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2012.06,1451,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2013.06,1737,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2014.06,2051,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2015.06,1918,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2016.06,2516,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2017.06,2491,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2018.06,2301,REVISED,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02143,2019.06,2792,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Dividend income,,,,
GFSA.SGS01G02144,2009.06,2256,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2010.06,1876,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2011.06,2203,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2012.06,2256,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
GFSA.SGS01G02144,2013.06,2260,FINAL,Dollars,6,Government Financial Statistics - GFS,"General Government, Operating Statement, Operating Income",Interest income,,,,
