Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
GFSA.SLS01G02140,2010.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2011.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2012.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2013.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2014.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2015.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2016.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2017.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2018.06,0,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02140,2019.06,0,PROVISIONAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Other income,,,,
GFSA.SLS01G02142,2009.06,1375,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
GFSA.SLS01G02142,2010.06,1481,FINAL,Dollars,6,Government Financial Statistics - GFS,"Local Government, Operating Statement, Operating Income",Sales of goods and services,,,,
